feature,importance
HOSPITALARRIVALHRS,66.24374852542807
TransferIn_No,5.188866652780667
TransferIn_Yes,4.417651417301228
TEMPERATURE,4.1072379313367655
PULSERATE,3.0012631596405237
SBP,1.9880878367609167
AGEyears,1.7047126761202702
PHAS_INTUB_YNS_L_AS_TEXT_Yes,1.613551552073243
EMSSBP,1.4825707895945275
ems_shock_index,1.1332777741059346
EMSRESPIRATORYRATE,1.0641126536104644
PHAS_INTUB_YNS_L_AS_TEXT_No,1.0327926499691507
EMSTOTALGCS,0.8883002347447263
TOTALGCS,0.7645452120936274
EMSPULSEOXIMETRY,0.7265690168578471
ems_gcs_moderate,0.6611831416852929
EMSGCSEYE_2.0,0.6151670422915215
EMSGCSVERBAL_3.0,0.6077317502719237
EMSGCSMOTOR_5.0,0.42221671865117516
EMSGCSVERBAL_5.0,0.41399297964306586
InjuryType_Blunt,0.35528486681504395
ems_gcs_mild,0.332911711851621
EMSPULSERATE,0.2764753641989346
EMSGCSMOTOR_4.0,0.2365350608241186
EMSGCSVERBAL_4.0,0.20489932824762877
InjuryType_Penetrating,0.19437594700398658
transport_time_30min,0.08054567055785437
SEX_M,0.07395451903102136
EMSGCSEYE_4.0,0.07239511911271666
PHAS_INTUB_YNS_L_AS_TEXT_unk,0.026563093759337356
EMSGCSMOTOR_6.0,0.02508513439638073
ems_hypoxia,0.014646167854357257
ems_sbp_low,0.011426828867332324
EMSGCSVERBAL_2.0,0.005596202645663035
SEX_F,0.005063793299407014
EMSGCSEYE_1.0,0.00321750613700375
evening_arrival,0.0013115285115277463
ems_tachycardia,0.001093636871998065
EMSGCSEYE_3.0,0.0010383547220273882
EMSGCSVERBAL_1.0,4.5033115732238857e-07
EMSGCSMOTOR_2.0,0.0
transport_time_15min,0.0
TransferIn_<NA>,0.0
sbp_minus_emssbp_ge20,0.0
ems_sbp_critical,0.0
InjuryType_<NA>,0.0
ems_sbp_high,0.0
EMSGCSVERBAL_nan,0.0
EMSGCSMOTOR_3.0,0.0
ems_bradycardia,0.0
ems_tachypnea,0.0
ems_bradypnea,0.0
SEX_nan,0.0
EMSGCSMOTOR_nan,0.0
EMSGCSEYE_nan,0.0
ems_severe_hypoxia,0.0
PHAS_INTUB_YNS_L_AS_TEXT_<NA>,0.0
